"month","date","State","Expected","Population","Observed","monthlyxs","sumxs","correctedpopulation","irxsuncorrected","irxscorrected","expcorr","xscorrMO","irxscorr"
201502,2015-02-01,"Ohio",9830,11617067.6666667,9830,0,0,11617067.6666667,0,0,9830,0,0
201502,2015-02-01,"Oklahoma",3389,3900074.33333333,3389,0,0,3900074.33333333,0,0,3389,0,0
201502,2015-02-01,"Oregon",2974,4000843.66666667,2974,0,0,4000843.66666667,0,0,2974,0,0
201502,2015-02-01,"Pennsylvania",11581,12790689.3333333,11581,0,0,12790689.3333333,0,0,11581,0,0
201502,2015-02-01,"Rhode Island",890,1056761,890,0,0,1056761,0,0,890,0,0
201502,2015-02-01,"South Carolina",4023,4872956.66666667,4023,0,0,4872956.66666667,0,0,4023,0,0
201502,2015-02-01,"South Dakota",611,852998.666666667,611,0,0,852998.666666667,0,0,611,0,0
201502,2015-02-01,"Tennessee",5615,6578441.66666667,5615,0,0,6578441.66666667,0,0,5615,0,0
201502,2015-02-01,"Texas",15484,27300051.3333333,15484,0,0,27300051.3333333,0,0,15484,-1.81898940354586e-12,-6.66295231952504e-15
201502,2015-02-01,"Utah",1416,2968526.33333333,1416,0,0,2968526.33333333,0,0,1416,0,0
201502,2015-02-01,"Vermont",524,625771,524,0,0,625771,0,0,524,0,0
201502,2015-02-01,"Virginia",5602,8350012,5602,0,0,8350012,0,0,5602,0,0
201502,2015-02-01,"Washington",4337,7130701.66666667,4337,0,0,7130701.66666667,0,0,4337,0,0
201502,2015-02-01,"West Virginia",1989,1845744.33333333,1989,0,0,1845744.33333333,0,0,1989,2.27373675443232e-13,1.23188066373529e-14
201502,2015-02-01,"Wisconsin",4154,5759684.33333333,4154,0,0,5759684.33333333,0,0,4154,0,0
201502,2015-02-01,"Wyoming",385,585312.333333333,385,0,0,585312.333333333,0,0,385,0,0
201503,2015-03-01,"Alabama",4809,4852036.5,4809,0,0,4852036.5,0,0,4809,0,0
201503,2015-03-01,"Alaska",351,738091.25,351,0,0,738091.25,0,0,351,0,0
201503,2015-03-01,"Arizona",4822,6807825.75,4822,0,0,6807825.75,0,0,4822,0,0
